1,252.2,0,0,0.09494963,0.5347447,0.2879893,-0.0733173,18,0.002433,-0.13778159,0.002433,31,0,0,10,0,0,0.101239786,5,0.077691644,0.20674475,19,0,0.004866,-0.41225904,0.12213398,34.536594,0.002433,0.2634478,0.002433,-0.18208416,225.384615,0,0.004866,0.004866,0.002433,0,0.23170911,0,0,27.874883,0.009732,0.12342529,0.004866,3.663885,0,0.004866,0.05756897,0.004866,40.773525
1,160.5,0,0,-0.023953296,0.59379196,0.16282429,-0.078177474,6,0.010471,-0.13409594,0,8,0.005236,0,6,0,0,-0.04306148,2,-0.08576307,0.44902843,9,0,0.005236,-0.51484084,0.07639702,14.060035,0,0.035128463,0,0.22902831,101.8,0,0.005236,0.005236,0.005236,0,-0.07132323,0,0,17.176925,0.005236,0.26068318,0.005236,0.614213,0,0,0.15983647,0.005236,2.906514
1,225.125,0,0,0.14442883,0.34852698,0.37690538,-0.11060425,20,0.004902,-0.111303195,0.002451,25,0.004902,0.002451,8,0.004902,0.002451,0.14556287,3,0.048329618,0.19095856,25,0,0.002451,-0.4282615,0.02253973,30.548134,0.002451,0.40813953,0,-3.39E-05,185.28,0.002451,0.007353,0.004902,0.004902,0.002451,0.052504912,0,0.002451,33.463865,0.004902,0.03921389,0,4.351583,0,0,0.24480051,0.002451,42.442293
1,162.5,0,0,0.10275056,0.25243428,0.2419204,0.07170851,8,0.010204,-0.3284741,0,14,0.005102,0,6,0,0,0.29780188,3,-0.3231234,0.21360795,11,0,0,-0.38506278,0.05467992,13.783896,0,0.101645246,0.005102,0.22364646,112.75,0,0.005102,0,0.005102,0,-0.2570781,0,0,17.661566,0,0.20791492,0.010204,1.987899,0,0,0.08517445,0.005102,3.009488
1,338.421053,0,0.004228,0.2346973,0.28613317,0.14481695,-0.14993687,28,0.006342,-0.05682996,0.002114,34,0.002114,0.002114,19,0.002114,0.002114,0.052759603,5,0.10671702,0.2672706,29,0,0,-0.22382018,0.016087081,43.05781,0.002114,0.16430469,0.004228,-0.036099844,212.607143,0,0.004228,0.002114,0.004228,0.002114,-0.03606561,0,0,31.035722,0.004228,0.023440279,0,9.462547,0.002114,0.002114,0.1834286,0.002114,37.046768
1,348.26087,0,0.00211,0.28466785,0.22649588,0.19898616,0.016289188,17,0.00211,-0.09695039,0.00211,31,0.006329,0.00211,23,0.00211,0,-0.05419708,3,0.071831554,0.19625367,27,0.00211,0.008439,-0.17165188,0.033362415,42.155947,0,0.29235497,0,-0.08188147,208.818182,0,0.006329,0.004219,0.004219,0.00211,-0.057126533,0,0,36.32198,0.006329,0.047556892,0.006329,3.753241,0,0,0.26883742,0,34.06417
1,368.782609,0,0.002004,0.26662847,0.17868234,0.110727586,-0.1494536,25,0.004008,-0.0320459,0.002004,34,0.006012,0.002004,23,0.002004,0,0.05293851,6,0.1456427,0.17589818,36,0,0.004008,-0.21749291,0.008155095,44.59415,0.002004,0.17494786,0.002004,-0.08958183,200.107143,0.002004,0.006012,0.008016,0.004008,0.002004,-0.008384477,0,0,40.306282,0.008016,-0.108917885,0,10.729153,0,0,0.2173801,0.004008,38.403953
1,349.9,0,0.004098,0.22228223,0.2823554,0.19180097,-0.12534186,21,0.006148,-0.06263078,0.004098,30,0.004098,0.002049,20,0.004098,0,0.014612732,6,0.14315613,0.17790796,28,0,0.004098,-0.2700455,0.027539317,30.916669,0.006148,0.2098662,0.004098,-0.07300284,218.730769,0,0.006148,0.002049,0.002049,0.002049,0.075579785,0.002049,0.002049,27.062433,0.006148,-0.013480893,0.004098,19.358581,0,0.002049,0.09090655,0.006148,35.906862
1,356.5,0,0.004184,0.33007848,0.2765215,0.20752974,-0.13644804,23,0.002092,-0.10385472,0.002092,33,0.004184,0.002092,22,0.004184,0,-0.07858793,3,0.14666703,0.19084594,27,0,0.004184,-0.21985775,0.10593603,43.564529,0,0.24454242,0.002092,-0.08642461,233.821429,0.002092,0.006276,0.004184,0.002092,0.002092,-0.015850628,0,0.004184,30.79198,0.008368,-0.02906692,0.004184,3.722222,0,0,0.2658572,0.002092,34.858706
1,355.590909,0,0.002096,0.24872382,0.2502105,0.13203424,-0.16240707,18,0.002096,-0.01238692,0.002096,35,0.004193,0.006289,22,0.002096,0,-0.06563639,4,0.189753,0.20662922,30,0,0.002096,-0.21462117,0.08055481,41.066227,0,0.16384776,0.002096,-0.010800971,176.380952,0.002096,0.008386,0.004193,0.004193,0.002096,-0.074181825,0,0.002096,36.10689,0.006289,-0.03293999,0.002096,2.826605,0,0.002096,0.258119,0.006289,34.724009
1,363,0,0.002075,0.30853093,0.18378304,0.08233073,-0.15659046,26,0.002075,0.034632497,0.002075,29,0.002075,0.002075,24,0.002075,0,0.026428323,4,0.22129449,0.16969956,32,0.004149,0.002075,-0.13628371,0.095528044,42.961136,0,0.10910753,0.002075,-0.13609616,223.481481,0,0.004149,0.002075,0.004149,0.004149,0.019749885,0,0.002075,26.002089,0.004149,-0.062935956,0,24.228868,0,0,0.25528237,0.002075,32.88832
